thread,method,order,calls,shortest,longest,average,total
QuartzScheduler_Worker-5,"sailpoint.api.Certificationer:setMitigationExpiration(cert, item, identity)",14,746,0,131,5.0,4179
QuartzScheduler_Worker-5,sailpoint.task.Housekeeper:pruneCertifications(),10,1,3,3,3.0,3
QuartzScheduler_Worker-5,sailpoint.api.Certificationer:getMessagesByType(type),22,4,0,0,0.0,0
QuartzScheduler_Worker-5,sailpoint.task.Housekeeper:finishCertifications(),26,1,674235,674235,674235.0,674235
QuartzScheduler_Worker-5,sailpoint.api.Certificationer:init(con),11,2,0,1,0.0,1
QuartzScheduler_Worker-5,"sailpoint.api.Certificationer:setCertificationLink(id, cert, cid)",19,1,0,0,0.0,0
QuartzScheduler_Worker-5,sailpoint.task.Housekeeper:initMessages(),20,1,0,0,0.0,0
QuartzScheduler_Worker-5,sailpoint.task.Housekeeper:parseArguments(args),2,1,0,0,0.0,0
QuartzScheduler_Worker-5,"sailpoint.task.Housekeeper:audit(action, statistic)",34,10,0,1,0.0,3
QuartzScheduler_Worker-5,sailpoint.task.Housekeeper:scanRemediations(),28,1,24,24,24.0,24
QuartzScheduler_Worker-5,sailpoint.api.Certificationer:isReturnToParent(cert),13,2,1,1,1.0,2
QuartzScheduler_Worker-5,sailpoint.task.Housekeeper:pruneHistory(),6,1,3,3,3.0,3
QuartzScheduler_Worker-5,sailpoint.task.Housekeeper:traceResults(),33,1,0,0,0.0,0
QuartzScheduler_Worker-5,sailpoint.task.Housekeeper:updateProgress(progress),4,25,1,2,1.0,28
QuartzScheduler_Worker-5,sailpoint.task.Housekeeper:pruneRequests(),9,1,4,4,4.0,4
QuartzScheduler_Worker-5,sailpoint.task.Housekeeper:pruneTaskResults(),8,1,6,6,6.0,6
QuartzScheduler_Worker-5,sailpoint.api.Certificationer:handleRemediation(item),16,746,0,1,0.0,233
QuartzScheduler_Worker-5,sailpoint.api.Certificationer:<init>(con),12,2,1,2,1.0,3
QuartzScheduler_Worker-5,sailpoint.task.Housekeeper:transitionContinuousCerts(),29,1,30,30,30.0,30
QuartzScheduler_Worker-5,sailpoint.task.Housekeeper:<init>(),1,1,1,1,1.0,1
QuartzScheduler_Worker-5,sailpoint.task.Housekeeper:processWorkflowEvents(),5,1,5,5,5.0,5
QuartzScheduler_Worker-5,sailpoint.task.Housekeeper:addMessage(message),21,1,2,2,2.0,2
QuartzScheduler_Worker-5,sailpoint.task.Housekeeper:scanLCMRequests(),32,1,27,27,27.0,27
QuartzScheduler_Worker-5,sailpoint.task.Housekeeper:trace(msg),3,25,0,1,0.0,15
QuartzScheduler_Worker-5,sailpoint.api.Certificationer:handlePolicyViolation(item),15,746,0,2,0.0,248
QuartzScheduler_Worker-5,sailpoint.api.Certificationer:getWarnings(),25,2,1,2,1.0,3
QuartzScheduler_Worker-5,sailpoint.task.Housekeeper:forwardInactiveWorkItems(),30,1,17,17,17.0,17
QuartzScheduler_Worker-5,sailpoint.api.Certificationer:finishItem(item),17,746,240,780,305.0,228113
QuartzScheduler_Worker-5,"sailpoint.task.Housekeeper:pruneObjects(cls, ops)",7,2,2,2,2.0,4
QuartzScheduler_Worker-5,sailpoint.api.Certificationer:getErrors(),23,2,1,1,1.0,2
QuartzScheduler_Worker-5,sailpoint.task.Housekeeper:denormalizeScopes(),31,1,4,4,4.0,4
QuartzScheduler_Worker-5,sailpoint.task.Housekeeper:phaseCertifications(),27,1,180,180,180.0,180
QuartzScheduler_Worker-5,sailpoint.api.Certificationer:lockIdentity(identityName),18,1,6,6,6.0,6
QuartzScheduler_Worker-5,sailpoint.task.Housekeeper:saveResults(result),35,1,5,5,5.0,5
QuartzScheduler_Worker-5,sailpoint.task.Housekeeper:addMessages(messages),24,2,0,0,0.0,0

